Flickr Order,Ensemble,project_sample_id,image_id,Total Individuals,G1 Elateridae,G2 Cerambycidae,G3 Curculionidae,G4 Scarabaeidae,G5 Lampyridae,Habitat,PlotID,Locality,Longitude,Latitude,Elevation,Date,Month,PlotID #,Unique Plot*Month,PlotXMonth ID,,,,,,image_id,habitat,plotid,locality,longitude,latitude,elevation,collection_date,,,
293,2,Huat_NHMUK015580252-07,Huat_NHMUK015580252-07_thumbnail,10,0,10,0,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-15_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
294,2,Huat_NHMUK015580252-06,Huat_NHMUK015580252-06_thumbnail,4,0,0,0,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-14_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
295,2,Huat_NHMUK015580252-05,Huat_NHMUK015580252-05_thumbnail,47,2,0,0,4,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-13_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
296,2,Huat_NHMUK015580252-04,Huat_NHMUK015580252-04_thumbnail,37,1,0,0,3,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-12_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
297,2,Huat_NHMUK015580252-03,Huat_NHMUK015580252-03_thumbnail,32,0,0,0,3,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-11_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
298,2,Huat_NHMUK015580252-01,Huat_NHMUK015580252-01_thumbnail,4,0,3,0,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-10_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
299,2,Huat_NHMUK015580252-02,Huat_NHMUK015580252-02_thumbnail,7,0,3,1,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-09_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
339,3,Huat_NHMUK015580226-01,Huat_NHMUK015580226-01_thumbnail,5,0,5,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-02-12,2,13,27,4,,,,,,NHMUK015580255-08_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
340,3,Huat_NHMUK015580226-02,Huat_NHMUK015580226-02_thumbnail,8,0,1,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-02-12,2,13,27,4,,,,,,NHMUK015580255-07_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
341,3,Huat_NHMUK015580226-03,Huat_NHMUK015580226-03_thumbnail,8,0,0,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-02-12,2,13,27,4,,,,,,NHMUK015580255-06_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
394,3,Huat_NHMUK015580243-02,Huat_NHMUK015580243-02_thumbnail,4,0,4,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,NHMUK015580255-05_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
395,3,Huat_NHMUK015580243-03,Huat_NHMUK015580243-03_thumbnail,3,0,3,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,NHMUK015580255-04_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
396,3,Huat_NHMUK015580243-04,Huat_NHMUK015580243-04_thumbnail,4,0,0,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,NHMUK015580255-03_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
397,3,Huat_NHMUK015580243-05,Huat_NHMUK015580243-05_thumbnail,2,0,1,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,NHMUK015580255-02_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
398,3,Huat_NHMUK015580243-06,Huat_NHMUK015580243-06_thumbnail,19,1,0,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,NHMUK015580255-01_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
399,3,Huat_NHMUK015580243-07,Huat_NHMUK015580243-07_thumbnail,16,0,0,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,MEX2022_31_03_thumbnail,Moderately disturbed tropical dry forest,Huat09,Cacaluta9,-96.168139,15.728939,N/A,2022-06-03,,,
400,3,Huat_NHMUK015580243-08,Huat_NHMUK015580243-08_thumbnail,16,1,0,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,MEX2022_31_02_thumbnail,Moderately disturbed tropical dry forest,Huat09,Cacaluta9,-96.168139,15.728939,N/A,2022-06-03,,,
401,3,Huat_NHMUK015580243-09,Huat_NHMUK015580243-09_thumbnail,9,0,0,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,MEX2022_31_01_thumbnail,Moderately disturbed tropical dry forest,Huat09,Cacaluta9,-96.168139,15.728939,N/A,2022-06-03,,,
625,3,Huat_NHMUK015580243-01,huat_nhmuk015580243-01_thumbnail,3,0,3,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-02-12,2,14,28,5,,,,,,MEX2022_30_02_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-07-12,,,
347,3,Huat_NHMUK015580228-01,Huat_NHMUK015580228-01_thumbnail,2,0,2,0,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-03-13,3,10,38,6,,,,,,MEX2022_30_01_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-07-12,,,
348,3,Huat_NHMUK015580228-02,Huat_NHMUK015580228-02_thumbnail,9,1,0,1,1,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-03-13,3,10,38,6,,,,,,MEX2022_29_03_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-07-25,,,
349,3,Huat_NHMUK015580228-03,Huat_NHMUK015580228-03_thumbnail,27,1,0,1,5,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-03-13,3,10,38,6,,,,,,MEX2022_29_02_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-07-25,,,
350,3,Huat_NHMUK015580228-04,Huat_NHMUK015580228-04_thumbnail,9,0,4,1,1,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-03-13,3,10,38,6,,,,,,MEX2022_28_04_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-08-13,,,
454,3,Huat_NHMUK015580251-01,Huat_NHMUK015580251-01_thumbnail,4,0,1,0,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-03-13,3,11,39,7,,,,,,MEX2022_28_03_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-08-13,,,
455,3,Huat_NHMUK015580251-02,Huat_NHMUK015580251-02_thumbnail,4,0,1,0,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-03-13,3,11,39,7,,,,,,MEX2022_28_02_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-08-13,,,
456,3,Huat_NHMUK015580251-03,Huat_NHMUK015580251-03_thumbnail,4,2,0,0,1,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-03-13,3,11,39,7,,,,,,MEX2022_28_01_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-08-13,,,
457,3,Huat_NHMUK015580251-04,Huat_NHMUK015580251-04_thumbnail,13,0,0,0,6,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-03-13,3,11,39,7,,,,,,MEX2022_27_02_thumbnail,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,2022-06-30,,,
458,3,Huat_NHMUK015580251-05,Huat_NHMUK015580251-05_thumbnail,18,0,0,0,1,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-03-13,3,11,39,7,,,,,,MEX2022_27_01_thumbnail,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,2022-06-30,,,
651,3,Huat_NHMUK015580251-06,huat_nhmuk015580251-06_thumbnail,13,0,0,2,1,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-03-13,3,11,39,7,,,,,,MEX2022_26_02_thumbnail,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,2022-06-02,,,
459,3,Huat_NHMUK015580254-01,Huat_NHMUK015580254-01_thumbnail,11,0,4,1,1,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-03-13,3,12,40,8,,,,,,MEX2022_26_01_thumbnail,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,2022-06-02,,,
460,3,Huat_NHMUK015580254-02,Huat_NHMUK015580254-02_thumbnail,22,1,4,2,2,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-03-13,3,12,40,8,,,,,,MEX2022_25_02_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
461,3,Huat_NHMUK015580254-03,Huat_NHMUK015580254-03_thumbnail,92,1,2,14,10,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-03-13,3,12,40,8,,,,,,MEX2022_25_01_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
462,3,Huat_NHMUK015580254-04,Huat_NHMUK015580254-04_thumbnail,47,2,0,4,6,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-03-13,3,12,40,8,,,,,,MEX2022_24_thumbnail,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-07-12,,,
463,3,Huat_NHMUK015580254-05,Huat_NHMUK015580254-05_thumbnail,5,0,0,0,1,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-03-13,3,12,40,8,,,,,,MEX2022_23_02_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-04,,,
336,3,Huat_NHMUK015580225-01,Huat_NHMUK015580225-01_thumbnail,4,0,4,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-03-13,3,13,41,9,,,,,,MEX2022_23_01_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-04,,,
337,3,Huat_NHMUK015580225-02,Huat_NHMUK015580225-02_thumbnail,6,0,0,0,1,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-03-13,3,13,41,9,,,,,,MEX2022_22_02_thumbnail,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-06-04,,,
338,3,Huat_NHMUK015580225-03,Huat_NHMUK015580225-03_thumbnail,2,0,0,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-03-13,3,13,41,9,,,,,,MEX2022_22_01_thumbnail,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-06-04,,,
365,3,Huat_NHMUK015580232-02,Huat_NHMUK015580232-02_thumbnail,3,0,1,0,1,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-03-13,3,14,42,10,,,,,,MEX2022_21_02_thumbnail,Highly disturbed tropical dry forest,Huat04,Cacaluta4,-96.163486,15.728169,10,2022-06-20,,,
366,3,Huat_NHMUK015580232-03,Huat_NHMUK015580232-03_thumbnail,13,0,0,1,2,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-03-13,3,14,42,10,,,,,,MEX2022_21_01_thumbnail,Highly disturbed tropical dry forest,Huat04,Cacaluta4,-96.163486,15.728169,10,2022-06-20,,,
367,3,Huat_NHMUK015580232-05,Huat_NHMUK015580232-05_thumbnail,6,0,0,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-03-13,3,14,42,10,,,,,,MEX_2022_20_thumbnail,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-07-12,,,
587,3,Huat_NHMUK015580232-01,huat_nhmuk015580232-01_thumbnail,5,0,1,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-03-13,3,14,42,10,,,,,,MEX_2022_1903_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-07-12,,,
588,3,Huat_NHMUK015580232-04,huat_nhmuk015580232-04_thumbnail,11,0,0,3,5,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-03-13,3,14,42,10,,,,,,MEX_2022_1902_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-07-12,,,
355,3,Huat_NHMUK015580231-01,Huat_NHMUK015580231-01_thumbnail,2,0,2,0,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1803_02_thumbnail,Moderately disturbed tropical dry forest,Huat08,Cacaluta8,-96.168297,15.728258,30,2022-06-21,,,
356,3,Huat_NHMUK015580231-02,Huat_NHMUK015580231-02_thumbnail,1,0,1,0,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1803_01_thumbnail,Moderately disturbed tropical dry forest,Huat08,Cacaluta8,-96.168297,15.728258,30,2022-06-21,,,
357,3,Huat_NHMUK015580231-03,Huat_NHMUK015580231-03_thumbnail,4,0,0,2,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1802_thumbnail,Moderately disturbed tropical dry forest,Huat08,Cacaluta8,-96.168297,15.728258,30,2022-06-21,,,
358,3,Huat_NHMUK015580231-04,Huat_NHMUK015580231-04_thumbnail,2,0,1,0,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1801_thumbnail,Moderately disturbed tropical dry forest,Huat08,Cacaluta8,-96.168297,15.728258,30,2022-06-21,,,
359,3,Huat_NHMUK015580231-05,Huat_NHMUK015580231-05_thumbnail,9,1,0,0,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1702_thumbnail,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-06-04,,,
360,3,Huat_NHMUK015580231-06,Huat_NHMUK015580231-06_thumbnail,9,3,1,2,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1701_thumbnail,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-06-04,,,
361,3,Huat_NHMUK015580231-07,Huat_NHMUK015580231-07_thumbnail,6,0,0,0,0,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1602_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-04,,,
362,3,Huat_NHMUK015580231-08,Huat_NHMUK015580231-08_thumbnail,12,0,0,2,1,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1601_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-04,,,
363,3,Huat_NHMUK015580231-09,Huat_NHMUK015580231-09_thumbnail,17,0,0,1,2,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_15a_thumbnail,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-07-25,,,
364,3,Huat_NHMUK015580231-10,Huat_NHMUK015580231-10_thumbnail,21,1,0,1,3,0,Preserved tropical dry forest,Huat10,HNP 1,-96.192903,15.770328,N/A,2022-04-11,4,10,52,11,,,,,,MEX_2022_1405_02_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
128,2,Huat_NHMUK015578749-03,Huat11 11-04-22 c_thumbnail,4,0,1,0,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-04-11,4,11,53,12,,,,,,MEX_2022_1405_01_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
130,2,Huat_NHMUK015578749-02,Huat11 11-04-22 b_thumbnail,7,0,0,5,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-04-11,4,11,53,12,,,,,,MEX_2022_1404_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
131,2,Huat_NHMUK015578749-04,Huat11 11-04-22 d_thumbnail,10,1,2,0,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-04-11,4,11,53,12,,,,,,MEX_2022_1403_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
132,2,Huat_NHMUK015578749-01,Huat11 11-04-22 a_thumbnail,18,0,1,0,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-04-11,4,11,53,12,,,,,,MEX_2022_1402_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
417,3,Huat_NHMUK015580246-02,Huat_NHMUK015580246-02_thumbnail,2,0,2,0,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-04-11,4,12,54,13,,,,,,MEX_2022_1401_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-18,,,
418,3,Huat_NHMUK015580246-03,Huat_NHMUK015580246-03_thumbnail,7,1,1,0,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-04-11,4,12,54,13,,,,,,MEX_2022_1302_thumbnail,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-06-04,,,
419,3,Huat_NHMUK015580246-04,Huat_NHMUK015580246-04_thumbnail,8,4,2,0,4,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-04-11,4,12,54,13,,,,,,MEX_2022_1301_thumbnail,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-06-04,,,
420,3,Huat_NHMUK015580246-05,Huat_NHMUK015580246-05_thumbnail,10,0,0,0,3,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-04-11,4,12,54,13,,,,,,MEX_2022_12_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-07-25,,,
421,3,Huat_NHMUK015580246-06,Huat_NHMUK015580246-06_thumbnail,11,0,0,0,3,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-04-11,4,12,54,13,,,,,,MEX_2022_11_thumbnail,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,2022-06-30,,,
422,3,Huat_NHMUK015580246-07,Huat_NHMUK015580246-07_thumbnail,4,0,0,0,1,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-04-11,4,12,54,13,,,,,,MEX_2022_10_02_thumbnail,Highly disturbed tropical dry forest,Huat04,Cacaluta4,-96.163486,15.728169,10,2022-06-20,,,
643,3,Huat_NHMUK015580246-01,huat_nhmuk015580246-01_thumbnail,2,0,2,0,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-04-11,4,12,54,13,,,,,,MEX_2022_10_01_thumbnail,Highly disturbed tropical dry forest,Huat04,Cacaluta4,-96.163486,15.728169,10,2022-06-20,,,
378,3,Huat_NHMUK015580239-01,Huat_NHMUK015580239-01_thumbnail,3,0,2,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-04-11,4,13,55,14,,,,,,MEX_2022_09_03_thumbnail,Highly disturbed tropical dry forest,Huat04,Cacaluta4,-96.163486,15.728169,10,2022-06-20,,,
379,3,Huat_NHMUK015580239-02,Huat_NHMUK015580239-02_thumbnail,7,3,1,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-04-11,4,13,55,14,,,,,,MEX_2022_09_02_thumbnail,Highly disturbed tropical dry forest,Huat04,Cacaluta4,-96.163486,15.728169,10,2022-06-20,,,
619,3,Huat_NHMUK015580239-03,huat_nhmuk015580239-03_thumbnail,4,0,0,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-04-11,4,13,55,14,,,,,,MEX_2022_09_01_thumbnail,Highly disturbed tropical dry forest,Huat04,Cacaluta4,-96.163486,15.728169,10,2022-06-20,,,
351,3,Huat_NHMUK015580230-01,Huat_NHMUK015580230-01_thumbnail,3,0,3,0,0,0,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-04-11,4,14,56,15,,,,,,MEX_2022_08_0202_thumbnail,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,2022-06-02,,,
